cultivar,price,note,id,url,image,hybridizer,year,color,parentage,ploidy,bloomseason,budcount,branches,form,bloomsize,bloomhabit,seedlingnum,foliagetype,scapeheight,fragrance,sculpting,rebloom
Mesa Verde,"",,161708,https://www.daylilies.org/DaylilyDB/detail.php?id=161708,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mesa_Verde.jpg,Stamile,2009,coral pink with gold edge above deep green throat,(Carefree Sunset × Tet. Royal Pink Twist),Tetraploid,"Early,Rebloom",35,6,"","6 in, (15 cm)",Diurnal,6130,Evergreen,"33 in, (84 cm)",Fragrant,"",""
Metallic Montage,"",,167633,https://www.daylilies.org/DaylilyDB/detail.php?id=167633,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Metallic Montage.jpg,Lambertson,2011,"purple petals and sepals, metallic gray eye and edge, cream and yellow teeth, green throat",(Laughing Falcon × Pinched Perfection),Tetraploid,"Early-Midseason,Rebloom",20,3,"","6.5 in, (17 cm)",Diurnal,LL0192,Semi-Evergreen,"28 in, (71 cm)","","",""
Mia Bella of Gascone,"",,171012,https://www.daylilies.org/DaylilyDB/detail.php?id=171012,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mia Bella.jpg,Gaskins,2012,"rose to jasper self, heavy gold edge",(Leprechaun Prince × Born to Run),Tetraploid,"Early-Midseason,Rebloom",30,4,"","5.5 in, (14 cm)",Diurnal,a-51-2010-LPXBTR,Evergreen,"29 in, (74 cm)",Fragrant,"",""
Michael Miller,"",,141088,https://www.daylilies.org/DaylilyDB/detail.php?id=141088,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/michael_miller.jpg,Stamile,2000,white with gold edge above green throat,(Great White × Platinum and Gold),Tetraploid,"Early-Midseason,Rebloom",22,3,"","6 in, (15 cm)",Diurnal,7419-G,Evergreen,"30 in, (76 cm)","","",""
Micro Chip,"",,146432,https://www.daylilies.org/DaylilyDB/detail.php?id=146432,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/micro_chip.jpg,Trimmer-J.,2005,coral pink with pale rouge eye above yellow throat,(Penny Pinsley × Tropical Delight),Diploid,"Late,Rebloom",35,4,Double 95%,"2.87 in, (7 cm)",Diurnal,"",Evergreen,"19 in, (48 cm)","","",""
Micro Dots,$12.00,,146430,https://www.daylilies.org/DaylilyDB/detail.php?id=146430,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/micro_dots.jpg,Trimmer-J.,2003,cantaloupe self above green throat,(Penny Pinsley × Tropical Delight),Diploid,"Early,Rebloom",40,5,Double 98%,"2.87 in, (7 cm)",Diurnal,"",Evergreen,"28 in, (71 cm)","","",""
Midnight In The Garden,"",,157814,https://www.daylilies.org/DaylilyDB/detail.php?id=157814,https://www.daylilies.org/DaylilyDB/None,Brooker-G,2007,deep purple with light lavender watermark and green to yellow ruffled edge above green to yellow throat,(Tet. Lavender Blue Baby × Forbidden Desires),Tetraploid,"Midseason-Late,Rebloom",20,3,"","6.5 in, (17 cm)",Extended,13-Jun,Semi-Evergreen,"28 in, (71 cm)","","",""
Midnight Raider,$10.00,,7024,https://www.daylilies.org/DaylilyDB/detail.php?id=7024,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Midnight Raider.jpg,Stamile,1995,dark purple self with green throat,(Darker Shade × Dragon King),Tetraploid,"Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,3194-B,Evergreen,"30 in, (76 cm)",Very Fragrant,"",""
Mikado,$6.00,,31405,https://www.daylilies.org/DaylilyDB/detail.php?id=31405,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mikado.jpg,Stout,1929,OM2-S: Orange medium with spot or eyezone,"",Diploid,"Early-Midseason,Rebloom","","","","",Diurnal,"",Semi-Evergreen,"36 in, (91 cm)","","",""
Mini Might,"",,7069,https://www.daylilies.org/DaylilyDB/detail.php?id=7069,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mini Might  Joiner Slide_1519869780.jpg,Joiner-J.,1996,mauve glow with a burgundy eyezone and green throat,(sdlg × Witch's Thimble),Diploid,"Midseason,Rebloom","","",Double,"2.87 in, (7 cm)",Diurnal,92-DD-B-WT-1,Semi-Evergreen,"20 in, (51 cm)","","",""
Minstrel's Fire,$10.00,,145976,https://www.daylilies.org/DaylilyDB/detail.php?id=145976,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/minstrels fire.jpg,Salter,2002,pale yellow with burnt orange eye and gold edge above green throat,(sdlg × Lee Pickles),Tetraploid,"Early-Midseason,Rebloom","","","","5 in, (13 cm)",Diurnal,LPSM-1,Semi-Evergreen,"27 in, (69 cm)","","",""
Mirror Mirror,"",,162551,https://www.daylilies.org/DaylilyDB/detail.php?id=162551,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mirror_Mirror.jpg,Petit,2009,gold with burgundy metallic patterned eye and burgundy picotee edge above green throat,(Rippled Oasis × Lightening in a Bottle),Tetraploid,"Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,S-10-12,Semi-Evergreen,"27 in, (69 cm)","","",""
Miss Apache,$10.00,,46240,https://www.daylilies.org/DaylilyDB/detail.php?id=46240,https://www.daylilies.org/DaylilyDB/None,Hansen-D.,2001,red with amber edge above yellow green throat,(Roses in Snow × (Calgary Stampede × Alexandra)),Tetraploid,"Midseason,Rebloom",18,3,Unusual FormCrispate,"6.5 in, (17 cm)",Diurnal,MSAP,Semi-Evergreen,"24 in, (61 cm)","","",""
Mississippi Man,"",,154856,https://www.daylilies.org/DaylilyDB/detail.php?id=154856,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mississippi_Man.jpg,Trimmer,2006,dark pink with white edge above bright green throat,((Ed Brown × Tet. Connie Burton) × Tet. Grace Pierce),Tetraploid,Early,28,3,"","6.5 in, (17 cm)",Diurnal,"",Evergreen,"28 in, (71 cm)",Fragrant,"",""
Mississippi Memento,$15.00,,159370,https://www.daylilies.org/DaylilyDB/detail.php?id=159370,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mississippi Memento.jpg,Salter,2008,pale rose pink with red eye and edge above green throat,"",Tetraploid,"Midseason,Rebloom",35,3,"","5.5 in, (14 cm)","","",Semi-Evergreen,"29 in, (74 cm)","","",""
Mississippi Red Dragon,$12.00,,152567,https://www.daylilies.org/DaylilyDB/detail.php?id=152567,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mississippi_Red_Dragon.jpg,Carpenter-J.,2005,red with cream yellow edge above green throat,(Red Loveliness × Out Back Red),Tetraploid,"Early-Midseason,Rebloom",36,6,"","6.5 in, (17 cm)",Diurnal,T-20-113,Dormant,"18 in, (46 cm)",Fragrant,"",""
Mister Big Stuff,"",,170480,https://www.daylilies.org/DaylilyDB/detail.php?id=170480,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mister Big Stuff.jpg,Salter,2013,"extremely large, pale ivory rose, large yellow green throat, very large ruffled yellow green edge, heavy substance",(Linda's Magic × The Incredible Earl Watts),Tetraploid,"Early-Midseason,Rebloom",24,3,"","7 in, (18 cm)",Diurnal,BIG,Semi-Evergreen,"28 in, (71 cm)","","",""
Mister Homer,$12.00,,142684,https://www.daylilies.org/DaylilyDB/detail.php?id=142684,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mister_Homer.jpg,Shooter,2000,vivid sunshine yellow above light green streaking center throat,(Majestic Move × Solar Music),Tetraploid,"Midseason-Late,Rebloom",22,3,"","7 in, (18 cm)",Diurnal,95yellowrealruff,Semi-Evergreen,"22 in, (56 cm)","","",""
Mister Lucky,$10.00,,31692,https://www.daylilies.org/DaylilyDB/detail.php?id=31692,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mister_Lucky.jpg,Sellers,1995,red with dark red eyezone,((Gay Cravat × Tet. Siloam Virginia Henson) × Tet. Spell Fire),Tetraploid,"Early-Midseason,Rebloom","","","","3.75 in, (10 cm)",Diurnal,95-6,Evergreen,"24 in, (61 cm)","","",""
Monkey Business,$15.00,,157235,https://www.daylilies.org/DaylilyDB/detail.php?id=157235,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Monkey_Business.jpg,Wilkerson,2008,lemon yellow self above green throat,((sdlg × Odds and Ends) × Let Loose),Tetraploid,"Early,Rebloom",28,4,Unusual FormSpatulate,"11 in, (28 cm)",Diurnal,50614,Evergreen,"42 in, (107 cm)",Fragrant,"",""
Monkey Hips,"",,149028,https://www.daylilies.org/DaylilyDB/detail.php?id=149028,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Monkey_Hips.jpg,Bachman,2003,golden yellow self above green yellow throat,(Red Ribbons × (Coburg Fright Wig × Spider Miracle)),Diploid,Late,25,4,Unusual FormSpatulate,"7.5 in, (19 cm)",Diurnal,97-143,Dormant,"58 in, (147 cm)","","",""
Moonlight On the Beach,"",,184719,https://www.daylilies.org/DaylilyDB/detail.php?id=184719,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/MoonlightontheBeach_1506738316.JPG_1506522831,Douglas-C.,2018,Pale creamy pink with large yellow piecrust ruffled edge and small yellow to green throat.,(Spotswood Box × Dreamsicle Supreme),Tetraploid,"Midseason-Late,Rebloom",18,3,"","6 in, (15 cm)",Diurnal,Oct-68,Dormant,"27 in, (68 cm)","","",""
Moonlight Sail,$20.00,,152146,https://www.daylilies.org/DaylilyDB/detail.php?id=152146,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/moonlight_sail.jpg,Stamile,2005,purple with lavender watermark and gold edge above green throat,(Bohemia after Dark × ((Musical Medley × Seize the  Night) × Chartered Course)),Tetraploid,"Midseason,Rebloom",25,3,"","6 in, (15 cm)",Diurnal,2359,Semi-Evergreen,"28 in, (71 cm)","","",""
Morrie Otte,$12.00,,7269,https://www.daylilies.org/DaylilyDB/detail.php?id=7269,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Morrie Otte.jpg,Salter-E.H.,1996,mauve with silver frost eyezone and green throat,"",Diploid,Midseason,"","","","2.75 in, (7 cm)",Diurnal,"",Semi-Evergreen,"18 in, (46 cm)","","",""
Moses' Fire,$12.00,,7274,https://www.daylilies.org/DaylilyDB/detail.php?id=7274,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Moses'_Fire.jpg,Joiner,1998,red self with gold edge and green throat,(sdlg × sdlg),Tetraploid,"Midseason,Rebloom",20,3,Double 95%,"6 in, (15 cm)",Diurnal,95-TD-JJ-JJ-108,Dormant,"22 in, (56 cm)","","",""
Mother Ocean,$12.00,,157017,https://www.daylilies.org/DaylilyDB/detail.php?id=157017,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mother_Ocean.jpg,Petit,2009,lavender with blue violet eye and edge outlined gold above green throat,(Doyle Pierce × Sailing at Dawn),Tetraploid,"Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,F09-1,Semi-Evergreen,"26 in, (66 cm)","","",""
Mountains Bow Down,"",,152428,https://www.daylilies.org/DaylilyDB/detail.php?id=152428,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mountains_Bow_Down.jpg,Bell-T.,2005,lavender mauve bitone with chalky lavender watermark and edge above green throat,(Forbidden Fantasy × Symphony of Praise),Tetraploid,"Midseason,Rebloom",22,4,"","6 in, (15 cm)",Diurnal,360-03,Evergreen,"30 in, (76 cm)",Fragrant,"",""
Mr Obvious,$15.00,,160153,https://www.daylilies.org/DaylilyDB/detail.php?id=160153,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mr_Obvious.jpg,Gossard,2008,cream pink self above small light cream green throat,(((Swallow Tail Kite × Forbidden Games) × Webster's Pink Wonder) × (Tet. Dallas Star × Webster's Pink Wonder)),Tetraploid,Midseason,15,3,Unusual FormCrispate,"9.5 in, (24 cm)",Diurnal,STKGEAS7302DS7302,Dormant,"43 in, (109 cm)",Fragrant,"",""
My Heart Belongs To Daddy,$10.00,,159917,https://www.daylilies.org/DaylilyDB/detail.php?id=159917,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/My Heart Belongs To Daddy Wilkerson 2009.jpg,Wilkerson,2009,bright red with cream to pink edge above green throat,(Key to My Heart × String Bikini),Tetraploid,"Early-Midseason,Rebloom",35,5,Unusual FormCascade,"7.5 in, (19 cm)",Diurnal,50682,Evergreen,"35 in, (89 cm)","","",""
Mythic Shores,"",,178098,https://www.daylilies.org/DaylilyDB/detail.php?id=178098,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mythic Shores.jpg,Salter-E.H.,2015,"bright yellow with an infusion of green and a washed blue violet eye surrounding a bright yellow green heart, form is broad, full and ruffled with a darker violet edge",(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom","","","","4.25 in, (11 cm)",Diurnal,ES-15-03,Semi-Evergreen,"32 in, (81 cm)","","",""
Mythic Voyage,"",,166974,https://www.daylilies.org/DaylilyDB/detail.php?id=166974,https://www.daylilies.org/DaylilyDB/AHSPhoto/M/Mythic Voyage.jpg,Salter-E.H.,2008,"medium lavender purple with a hint of rose and a washed eye pattern of light lavender, gray and washed purple",(unknown × unknown),Tetraploid,"","","","","4 in, (10 cm)",Diurnal,"",Semi-Evergreen,"26 in, (66 cm)","","",""
Nanners,$12.00,,166452,https://www.daylilies.org/DaylilyDB/detail.php?id=166452,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/NANNERS.jpg,Wilkerson,2011,bright yellow gold with green throat,(Wild Wookie × Light House North),Tetraploid,"Early-Midseason,Rebloom",37,5,Unusual FormCrispate-Cascade,"11 in, (28 cm)",Diurnal,50812,Evergreen,"44 in, (112 cm)","","",""
Narwhale,"",,178301,https://www.daylilies.org/DaylilyDB/detail.php?id=178301,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/NARWHALE.jpg,Lambertson,2015,"light rose, light gray blue eye, creamy yellow teeth, green throat",(Wild Hair × Blue-eyed Dragon),Tetraploid,"Early,Rebloom",20,3,"","6.5 in, (17 cm)",Diurnal,LL310,Semi-Evergreen,"32 in, (81 cm)","","",""
Nature's Crown,$12.00,,147920,https://www.daylilies.org/DaylilyDB/detail.php?id=147920,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/nature's_crown.jpg,Petit,2003,pink with lighter watermark and gold edge above green throat,(((Impetuous Fire × Dripping with Gold) × Vision of Love) × (Susan Pritchard Petit × Clothed in Glory)),Tetraploid,"Midseason,Rebloom","","",Double 90%,"5.5 in, (14 cm)",Diurnal,F-03-04,Semi-Evergreen,"24 in, (61 cm)",Fragrant,"",""
Nell Crandall,$8.00,,32672,https://www.daylilies.org/DaylilyDB/detail.php?id=32672,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Nell_Crandall.jpg,Guidry,1976,cream pink blend with green throat,"",Diploid,Early-Midseason,"","","","5.5 in, (14 cm)",Diurnal,CR-PI-3-75,Evergreen,"25 in, (64 cm)",Fragrant,"",""
Nell Mccreery,$12.00,,7466,https://www.daylilies.org/DaylilyDB/detail.php?id=7466,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Nell McCreery.jpg,Joiner,1995,Spanish orange blend and green throat,(Elsie Spalding × Pat Mercer),Diploid,"Midseason,Rebloom","","","","8 in, (20 cm)",Diurnal,92-D-ES-PM 7,Evergreen,"30 in, (76 cm)",Fragrant,"",""
Neon Rainbow,$8.00,,7473,https://www.daylilies.org/DaylilyDB/detail.php?id=7473,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Neon_Rainbow.jpg,Joiner,1995,majolica yellow and lavender reverse bitone with purple eyezone and green-yellow throat,(sdlg × Court Magician),Tetraploid,"Early-Midseason,Rebloom","","","","6 in, (15 cm)",Diurnal,92-T-RH-WR-CM-3,Semi-Evergreen,"30 in, (76 cm)","","",""
New York Follies,$10.00,,32786,https://www.daylilies.org/DaylilyDB/detail.php?id=32786,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/New_York_Follies.jpg,Spalding-W.,1990,apricot blend with rusty red eyezone and chartreuse throat,"",Diploid,"Early,Rebloom","","","","6 in, (15 cm)",Extended,ES 86-2000,Semi-Evergreen,"28 in, (71 cm)","","",""
Nicole's Heat seeker,"",,163602,https://www.daylilies.org/DaylilyDB/detail.php?id=163602,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/nicoles_heat_seeker.jpg,Harry,2010,glowing orange with light broken eye,(Lava Flow × sdlg),Tetraploid,"Early-Midseason,Rebloom",40,5,"","6 in, (15 cm)",Diurnal,NH06-102,Semi-Evergreen,"29 in, (74 cm)","","",""
Night and Day,"",,178302,https://www.daylilies.org/DaylilyDB/detail.php?id=178302,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/NIGHT AND DAY.jpg,Lambertson,2015,"black with white teeth, green throat",(Night Vision × Blue-eyed Dragon),Tetraploid,"Early-Midseason,Rebloom",20,3,"","5 in, (13 cm)",Diurnal,LL311,Semi-Evergreen,"36 in, (91 cm)","","",""
Night Embers,$10.00,,7558,https://www.daylilies.org/DaylilyDB/detail.php?id=7558,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Night_Embers.jpg,Stamile,1997,bing cherry red with white edges and green throat,(Double Phelan × sdlg),Tetraploid,"Early-Midseason,Rebloom","","",Double,"5 in, (13 cm)",Diurnal,5343-A,Semi-Evergreen,"30 in, (76 cm)",Fragrant,"",""
Night Wings,"",,32883,https://www.daylilies.org/DaylilyDB/detail.php?id=32883,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Night Wings.jpg,Williams-J.,1985,black red self with yellow green throat,"","",Early,"","","","6 in, (15 cm)","",WBB-1-83,"","30 in, (76 cm)","","",""
Nile Jewel,$12.00,,154487,https://www.daylilies.org/DaylilyDB/detail.php?id=154487,https://www.daylilies.org/DaylilyDB/None,Salter-E.H.,2006,lavender purple with washed pale lavender eye above green throat,"",Diploid,"Midseason,Rebloom","","","","3.5 in, (9 cm)",Diurnal,ES-06-17,Evergreen,"22 in, (56 cm)","","",""
Noonday Dreams,$12.00,,154457,https://www.daylilies.org/DaylilyDB/detail.php?id=154457,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Noonday Dreams from Monbeck.jpg,Salter,2006,pale lavender with lavender grape eye and edge above green throat,"",Tetraploid,"Midseason,Rebloom",30,4,"","6 in, (15 cm)",Diurnal,JS-06-01,Evergreen,"26 in, (66 cm)","","",""
Notify ground Crew,"",,46942,https://www.daylilies.org/DaylilyDB/detail.php?id=46942,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Notify_Ground_Crew.jpg,Hanson-C.,2000,yellow self,(Tetrinas Daughter × Tet. Purity),Tetraploid,Midseason,"","","","5 in, (13 cm)",Nocturnal,TD TPUR,Dormant,"72 in, (183 cm)",Fragrant,"",""
Now and Zen,"",,7624,https://www.daylilies.org/DaylilyDB/detail.php?id=7624,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Now_and_Zen.jpg,Hanson-C.,1999,purple gold with maroon purple eye and chartreuse throat,(Fooled Me × Tet. Jason Salter),Tetraploid,Midseason,23,4,"","3.5 in, (9 cm)",Diurnal,FMJASON,Semi-Evergreen,"25 in, (64 cm)",Fragrant,"",""
Now That's Orange,$35.00,,178435,https://www.daylilies.org/DaylilyDB/detail.php?id=178435,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/NowThatsOrange.jpg,Elliott-S.,2015,blood orange with darker orange veins and a creped texture,(Two to Tango × Just for Breakfast),Diploid,"Early,Rebloom",24,5,Double 100%,"3.75 in, (10 cm)",Diurnal,sedse12-62,Semi-Evergreen,"25 in, (64 cm)",Fragrant,"",""
Nutmeg Spice,$8.00,,7636,https://www.daylilies.org/DaylilyDB/detail.php?id=7636,https://www.daylilies.org/DaylilyDB/AHSPhoto/N/Nutmeg_Spice.jpg,Joiner,1997,apricot wash with a mauve wine eyezone and yellow green throat,"",Tetraploid,"Early-Midseason,Rebloom","","","","3.5 in, (9 cm)",Diurnal,95-T-JW-37-46,Evergreen,"28 in, (71 cm)","","",""
Ocean Child,"",,157427,https://www.daylilies.org/DaylilyDB/detail.php?id=157427,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Ocean_Child.jpg,Trimmer,2007,pale purple with chaulky white watermark and gold edge above green throat,(Bella Sera × sdlg),Tetraploid,"Early,Rebloom",30,3,"","6 in, (15 cm)",Diurnal,21-Apr,Evergreen,"28 in, (71 cm)","","",""
Off to See the Wizard,"",,161491,https://www.daylilies.org/DaylilyDB/detail.php?id=161491,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Off_To_See_The_Wizard.jpg,Herrington-K.,2009,amethyst purple with darker purple eye and white midribs above yellow green throat,(Windstar × (sdlg × Journey to Oz)),Diploid,"Midseason,Rebloom",22,5,Unusual FormCascade,"5.5 in, (14 cm)",Diurnal,KAT 119,Semi-Evergreen,"33 in, (84 cm)","","",""
Oliver Billingslea,$8.00,,7707,https://www.daylilies.org/DaylilyDB/detail.php?id=7707,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Oliver Billingsley- Odum_1538578862.jpg,Grace,1996,light apricot orange self with green throat,"",Tetraploid,"Early-Midseason,Rebloom","","","","5.5 in, (14 cm)",Diurnal,117,Dormant,"18 in, (46 cm)",Very Fragrant,"",""
Once in a Wild Moon,"",,181661,https://www.daylilies.org/DaylilyDB/detail.php?id=181661,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/onceinawildmoon.jpg,Salter-E.H.,2016,"pale medium lavender with a large circular eye of light violet blue, the blue is very intense",(unknown × unknown),Diploid,"Midseason,Rebloom","","","","3.5 in, (9 cm)",Diurnal,ES1016,Semi-Evergreen,"26 in, (66 cm)","","",""
One For The Road,"",,175547,https://www.daylilies.org/DaylilyDB/detail.php?id=175547,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/onefortheroad.jpg,Selman,2014,"lavender orchid with purple-orchid eye and ruffled magenta, purple-orchid and white picotee over yellow to green throat",(Unending Melody × Bella Sera),Tetraploid,"Midseason,Rebloom",20,4,"","5 in, (13 cm)",Diurnal,06-003B,Semi-Evergreen,"42 in, (107 cm)","","",""
One Step Beyond,$12.00,,7753,https://www.daylilies.org/DaylilyDB/detail.php?id=7753,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/One_Step_Beyond.jpg,Benz,1995,lavender-rose self with lime-green throat,(Trudy Harris × Tet. Barbara Mitchell),Tetraploid,Midseason,"","","","6.5 in, (17 cm)",Diurnal,TH-BM-f1-2,Semi-Evergreen,"32 in, (81 cm)",Fragrant,"",""
Opa Klaus,"",,179406,https://www.daylilies.org/DaylilyDB/detail.php?id=179406,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/OPA KLAUS.jpg,Waldrop,2015,"brilliant yellow, butternut color with ruffles on practically every edge, massive in size, and often looks like a double unusual form",(Buzz Saw Boogie × Tet. Sunglasses Needed),Tetraploid,"Early-Midseason,Rebloom",18,4,Double 95%Polymerous 5%,"10 in, (25 cm)",Diurnal,3-374,Semi-Evergreen,"26 in, (66 cm)","","",""
Optical Delight,$8.00,,33495,https://www.daylilies.org/DaylilyDB/detail.php?id=33495,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/opticaldelight.jpg,Guidry,1982,cream pink self with green throat,"",Diploid,"Extra Early,Rebloom","","","","6 in, (15 cm)",Diurnal,CR-GR-30-81,Evergreen,"18 in, (46 cm)",Fragrant,"",""
Orange Cherry Jubilee,"",,161701,https://www.daylilies.org/DaylilyDB/detail.php?id=161701,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/ORANGE CHERRY JULILEE 5218.jpg,Stamile,2009,orange with red eye and red and gold edge above green throat,(Rowdy Red × Special Ovation),Tetraploid,"Early-Midseason,Rebloom",30,5,"","5.75 in, (15 cm)",Diurnal,5218,Evergreen,"36 in, (91 cm)","","",""
Orange Delicious,"",,155603,https://www.daylilies.org/DaylilyDB/detail.php?id=155603,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/orange_delicious.jpg,Eller-N.,2006,orange with red eye,(Double Dipper × sdlg),Tetraploid,"Early,Rebloom",20,4,Double 95%,"5.5 in, (14 cm)",Diurnal,NE02DD,Semi-Evergreen,"34 in, (86 cm)",Fragrant,"",""
Orange Thunder,$12.00,,164458,https://www.daylilies.org/DaylilyDB/detail.php?id=164458,https://www.daylilies.org/DaylilyDB/None,Terrio,2010,"pale orange, with a rose pink halo and a gold edge above a yellow throat",(sdlg × Blended Sunlight),Tetraploid,"Early-Midseason,Rebloom",12,3,"","7 in, (18 cm)",Diurnal,JT 8709,Evergreen,"26 in, (66 cm)","","",""
Orange Velvet,$10.00,,33585,https://www.daylilies.org/DaylilyDB/detail.php?id=33585,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Orange_Velvet.jpg,Joiner,1988,orange self with green throat,(Copper Lantern × Golden Scroll),Diploid,"Midseason,Rebloom","","","","6.5 in, (17 cm)",Diurnal,86D-CL-GS-21M,Semi-Evergreen,"30 in, (76 cm)","","",""
Oriental Impressions,"",,171940,https://www.daylilies.org/DaylilyDB/detail.php?id=171940,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Oriental Impressions.jpg,Salter,2013,pale lavender pink with a very pronounced appliquéd eye of yellow green surrounded by a deep lavender purple,(unknown × unknown),Tetraploid,"Early-Midseason,Rebloom","","","","5 in, (13 cm)",Diurnal,JS1308,Semi-Evergreen,"30 in, (76 cm)","","",""
Outrageous Fortune,$12.00,,143556,https://www.daylilies.org/DaylilyDB/detail.php?id=143556,https://www.daylilies.org/DaylilyDB/AHSPhoto/O/Outrageous_Fortune.jpg,Stamile,2001,red with gold edge above green throat,(Dark Wonder × ((Clovette Adams × Lightning Strike) × Puccini)),Tetraploid,"Midseason,Rebloom",35,5,Double 90%,"6 in, (15 cm)",Diurnal,0201-B,Evergreen,"32 in, (81 cm)",Fragrant,"",""
Oxymoron,$10.00,,7868,https://www.daylilies.org/DaylilyDB/detail.php?id=7868,https://www.daylilies.org/DaylilyDB/None,Gates-L.,1997,rose and pink bitone with a green throat,"",Diploid,"Early,Rebloom","","","","5.5 in, (14 cm)",Extended,RO-54-93,Evergreen,"22 in, (56 cm)",Fragrant,"",""
Packed To Please,$12.00,,154575,https://www.daylilies.org/DaylilyDB/detail.php?id=154575,https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Packed_to_Please.jpg,Joiner,2006,apricot wash self above yellow green throat,(Hint of Heaven × sdlg),Tetraploid,"Early-Midseason,Rebloom",25,5,Double 95%,"5 in, (13 cm)",Diurnal,E03TDHOHJJ12,Evergreen,"31 in, (79 cm)",Fragrant,"",""
Pagan Ritual,$6.00,,45931,https://www.daylilies.org/DaylilyDB/detail.php?id=45931,https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Pagan_Ritual.jpg,Carr,1999,smoky burgundy self above yellow green throat,((Arabian Magic × Wedding Band) × sdlg),Tetraploid,"Midseason,Rebloom",25,4,"","5 in, (13 cm)",Diurnal,GENIDAORAR,Evergreen,"27 in, (69 cm)","","",""
Panama City,$15.00,,159955,https://www.daylilies.org/DaylilyDB/detail.php?id=159955,https://www.daylilies.org/DaylilyDB/AHSPhoto/P/Panama_City.jpg,Trimmer,2009,lavender blend with dark plum eye and gold edge above green throat,(Carol Todd × Priscilla's Smile),Tetraploid,"Early-Midseason,Rebloom",28,3,"","6.75 in, (17 cm)",Diurnal,23-Jul,Evergreen,"32 in, (81 cm)","","",""
Panama Scarlet,$10.00,,141899,https://www.daylilies.org/DaylilyDB/detail.php?id=141899,https://www.daylilies.org/DaylilyDB/None,Munson-R.W.,2000,red with gold red halo above green gold throat,(Harrods × ((Pirate Lord × Prime Minister) × Fiery Chariot)),Tetraploid,Early-Midseason,"","","","5 in, (13 cm)",Diurnal,RWM00-01,Semi-Evergreen,"20 in, (51 cm)","","",""
